:START_ID(Region),:END_ID(Region),weight:float,total:float,neuron_count:int,source_acronym,target_acronym,:TYPE
541.0,484682470,200.50098521291665,3609.0177338324997,18,TEa,ProS,PROJECT_TO
541.0,484682508,440.36411970895614,4403.6411970895615,10,TEa,APr,PROJECT_TO
541.0,1009,3263.40348029748,169696.98097546896,52,TEa,fiber tracts,PROJECT_TO
541.0,378,5994.465159840455,167845.02447553276,28,TEa,SSs,PROJECT_TO
541.0,1011,4357.046543999611,95855.02396799142,22,TEa,AUDd,PROJECT_TO
541.0,895,3032.9244000118524,121316.9760004741,40,TEa,ECT,PROJECT_TO
541.0,394,543.8074165507733,6525.688998609279,12,TEa,VISam,PROJECT_TO
541.0,302,203.73296902360494,814.9318760944197,4,TEa,SCs,PROJECT_TO
385.0,1002,1341.271749977904,37555.60899938131,28,VISp,AUDp,PROJECT_TO
385.0,1027,688.1573540170014,20644.72062051004,30,VISp,AUDpo,PROJECT_TO
385.0,1018,475.2587486392042,7604.139978227267,16,VISp,AUDv,PROJECT_TO
385.0,541,1402.3470390774169,50484.493406787005,36,VISp,TEa,PROJECT_TO
385.0,843,683.9895711242115,12311.812280235807,18,VISp,PAR,PROJECT_TO
385.0,502,1877.2502023159036,30036.003237054458,16,VISp,SUB,PROJECT_TO
409.0,329,430.32589572416526,7745.866123034974,18,VISl,SSp-bfd,PROJECT_TO
409.0,378,1044.8656465098438,12538.387758118126,12,VISl,SSs,PROJECT_TO
409.0,1011,1406.396529032555,16876.75834839066,12,VISl,AUDd,PROJECT_TO
409.0,402,2526.838171872497,85912.4978436649,34,VISl,VISal,PROJECT_TO
409.0,409,15839.31771984828,855323.1568718072,54,VISl,VISl,PROJECT_TO
409.0,385,22698.373518987435,907934.9407594975,40,VISl,VISp,PROJECT_TO
409.0,533,3810.836359934643,68595.05447882357,18,VISl,VISpm,PROJECT_TO
409.0,312782574,3347.439929511012,147287.35689848452,44,VISl,VISli,PROJECT_TO
409.0,312782628,894.6199546633479,21470.87891192035,24,VISl,VISpor,PROJECT_TO
409.0,886,3060.3898396204954,18362.339037722973,6,VISl,RSPv,PROJECT_TO
409.0,417,2737.5662673575407,65701.59041658098,24,VISl,VISrl,PROJECT_TO
409.0,1037,1060.9392477050376,14853.149467870528,14,VISl,POST,PROJECT_TO
409.0,1009,4863.656127960644,204273.55737434706,42,VISl,fiber tracts,PROJECT_TO
918.0,409,81.60821615705923,489.64929694235536,6,ENTl,VISl,PROJECT_TO
918.0,385,52449.60167761663,104899.20335523326,2,ENTl,VISp,PROJECT_TO
918.0,425,7205.662455437811,14411.324910875623,2,ENTl,VISpl,PROJECT_TO
918.0,533,2000.8272908778072,4001.6545817556143,2,ENTl,VISpm,PROJECT_TO
918.0,312782574,135.22671977790392,811.3603186674236,6,ENTl,VISli,PROJECT_TO
918.0,312782628,1094.4623770517503,39400.64557386301,36,ENTl,VISpor,PROJECT_TO
918.0,111,513.6822081497817,1027.3644162995633,2,ENTl,AIp,PROJECT_TO
918.0,894,2357.374705466727,4714.749410933454,2,ENTl,RSPagl,PROJECT_TO
918.0,879,4159.068004111738,8318.136008223477,2,ENTl,RSPd,PROJECT_TO
918.0,541,2183.020571123368,48026.45256471409,22,ENTl,TEa,PROJECT_TO
918.0,895,650.0587562721659,26002.350250886633,40,ENTl,ECT,PROJECT_TO
918.0,961,923.1287713988049,7385.030171190439,8,ENTl,PIR,PROJECT_TO
918.0,918,4849.237735814815,737084.135843852,152,ENTl,ENTl,PROJECT_TO
918.0,926,4771.266758327129,410328.94121613307,86,ENTl,ENTm,PROJECT_TO
918.0,843,1939.4411138201979,42667.704504044355,22,ENTl,PAR,PROJECT_TO
918.0,1037,1171.8269426617906,25780.19273855939,22,ENTl,POST,PROJECT_TO
918.0,502,5353.295894940362,524622.9977041555,98,ENTl,SUB,PROJECT_TO
918.0,484682470,2816.046783609323,264708.3976592764,94,ENTl,ProS,PROJECT_TO
918.0,484682508,1949.502183513052,3899.004367026104,2,ENTl,APr,PROJECT_TO
918.0,1009,8875.263987755414,1331289.598163312,150,ENTl,fiber tracts,PROJECT_TO
312782628.0,1002,1347.4487675078915,10779.590140063132,8,VISpor,AUDp,PROJECT_TO
312782628.0,1027,1848.5932388735935,14788.745910988748,8,VISpor,AUDpo,PROJECT_TO
312782628.0,1018,714.642087141149,2858.568348564596,4,VISpor,AUDv,PROJECT_TO
312782628.0,402,3140.6453328294015,25125.16266263521,8,VISpor,VISal,PROJECT_TO
312782628.0,394,918.4489487577124,9184.489487577124,10,VISpor,VISam,PROJECT_TO
312782628.0,409,6422.1622949993925,89910.2721299915,14,VISpor,VISl,PROJECT_TO
312782628.0,385,43188.74858292637,518264.98299511644,12,VISpor,VISp,PROJECT_TO
312782628.0,425,5167.997136426608,62015.9656371193,12,VISpor,VISpl,PROJECT_TO
312782628.0,533,5244.386941555386,62932.64329866464,12,VISpor,VISpm,PROJECT_TO
312782628.0,312782574,2832.93771728638,56658.754345727604,20,VISpor,VISli,PROJECT_TO
312782628.0,312782628,11450.65689971497,229013.1379942994,20,VISpor,VISpor,PROJECT_TO
312782628.0,894,2871.8650125882764,34462.38015105932,12,VISpor,RSPagl,PROJECT_TO
312782628.0,879,6623.786740340103,79485.44088408124,12,VISpor,RSPd,PROJECT_TO
312782628.0,886,3779.678605779011,37796.78605779011,10,VISpor,RSPv,PROJECT_TO
312782628.0,541,3789.0637496203462,53046.89249468485,14,VISpor,TEa,PROJECT_TO
312782628.0,922,166.29771197408087,997.7862718444852,6,VISpor,PERI,PROJECT_TO
312782628.0,895,772.7390251021288,7727.390251021288,10,VISpor,ECT,PROJECT_TO
312782628.0,918,5020.4595157236945,80327.35225157911,16,VISpor,ENTl,PROJECT_TO
312782628.0,926,4881.9016442663615,78110.42630826178,16,VISpor,ENTm,PROJECT_TO
312782628.0,843,2629.129868271467,26291.29868271467,10,VISpor,PAR,PROJECT_TO
312782628.0,1037,1750.7204932889065,10504.32295973344,6,VISpor,POST,PROJECT_TO
312782628.0,502,897.3042290686232,10767.650748823478,12,VISpor,SUB,PROJECT_TO
312782628.0,484682508,1117.69947189456,13412.393662734721,12,VISpor,APr,PROJECT_TO
312782628.0,1009,6697.576593462925,133951.5318692585,20,VISpor,fiber tracts,PROJECT_TO
926.0,409,502.42337753198007,5024.233775319801,10,ENTm,VISl,PROJECT_TO
926.0,385,4081.4586069799648,65303.337711679436,16,ENTm,VISp,PROJECT_TO
926.0,425,4461.441151111887,80305.94072001397,18,ENTm,VISpl,PROJECT_TO
926.0,533,347.00403820047796,2776.0323056038237,8,ENTm,VISpm,PROJECT_TO
926.0,312782574,187.68795926261245,5630.638777878374,30,ENTm,VISli,PROJECT_TO
926.0,312782628,436.2317594401879,53220.27465170292,122,ENTm,VISpor,PROJECT_TO
926.0,894,3824.544804580898,53543.62726413257,14,ENTm,RSPagl,PROJECT_TO
926.0,879,2180.417333390798,69773.35466850553,32,ENTm,RSPd,PROJECT_TO
926.0,886,7603.854432282167,228115.632968465,30,ENTm,RSPv,PROJECT_TO
926.0,541,208.99925156904914,12539.955094142948,60,ENTm,TEa,PROJECT_TO
926.0,922,203.56522385691085,6106.956715707325,30,ENTm,PERI,PROJECT_TO
926.0,895,310.175047039965,16749.452540158112,54,ENTm,ECT,PROJECT_TO
926.0,918,1448.1287803136597,243285.63509269484,168,ENTm,ENTl,PROJECT_TO
926.0,926,11169.278034800185,2747642.3965608454,246,ENTm,ENTm,PROJECT_TO
926.0,843,5093.679242081179,814988.6787329887,160,ENTm,PAR,PROJECT_TO
926.0,1037,1839.56552168971,88299.14504110608,48,ENTm,POST,PROJECT_TO
926.0,1084,3698.9431361844518,562239.3567000367,152,ENTm,PRE,PROJECT_TO
926.0,502,2259.753036288664,433872.5829674235,192,ENTm,SUB,PROJECT_TO
926.0,484682508,2313.700552272899,87920.62098637017,38,ENTm,APr,PROJECT_TO
926.0,302,516.0511016888838,2064.2044067555353,4,ENTm,SCs,PROJECT_TO
926.0,1009,6317.989794924327,1389957.754883352,220,ENTm,fiber tracts,PROJECT_TO
312782628.0,329,62.14897749007141,124.29795498014282,2,VISpor,SSp-bfd,PROJECT_TO
312782628.0,378,9.134800053899326,36.539200215597305,4,VISpor,SSs,PROJECT_TO
312782628.0,1011,290.51886633633677,1162.075465345347,4,VISpor,AUDd,PROJECT_TO
312782628.0,417,1962.6675679916261,7850.6702719665045,4,VISpor,VISrl,PROJECT_TO
312782628.0,382,2975.316783707642,35703.80140449171,12,VISpor,CA1,PROJECT_TO
378.0,111,1343.272857267423,139700.377155812,104,SSs,AIp,PROJECT_TO
378.0,463,970.8803402712261,95146.27334658016,98,SSs,CA3,PROJECT_TO
378.0,583,795.4713322525796,65228.64924471152,82,SSs,CLA,PROJECT_TO
378.0,310,119.57951995794754,717.4771197476853,6,SSs,SF,PROJECT_TO
378.0,184,351.69680885560194,3516.9680885560197,10,SSs,FRP,PROJECT_TO
378.0,723,932.7510066625433,3731.0040266501733,4,SSs,ORBl,PROJECT_TO
378.0,746,121.34781578068788,485.3912631227515,4,SSs,ORBvl,PROJECT_TO
378.0,726,297.26660866598513,17241.463302627137,58,SSs,DG,PROJECT_TO
385.0,993,5106.021683830236,40848.17347064189,8,VISp,MOs,PROJECT_TO
385.0,329,1468.2826173605185,38175.34805137348,26,VISp,SSp-bfd,PROJECT_TO
385.0,361,394.7679341311969,3947.679341311969,10,VISp,SSp-tr,PROJECT_TO
385.0,1011,261.47591592806003,4706.566486705081,18,VISp,AUDd,PROJECT_TO
385.0,394,2817.534306864101,152146.85257066146,54,VISp,VISam,PROJECT_TO
385.0,312782628,2402.4585357270334,86488.5072861732,36,VISp,VISpor,PROJECT_TO
385.0,39,5101.03596830113,40808.28774640904,8,VISp,ACAd,PROJECT_TO
385.0,48,1402.475553688419,11219.804429507352,8,VISp,ACAv,PROJECT_TO
385.0,312782546,3221.3308538098586,103082.58732191547,32,VISp,VISa,PROJECT_TO
385.0,918,500.8997957070159,6010.797548484191,12,VISp,ENTl,PROJECT_TO
385.0,672,5377.466780790276,258118.40547793327,48,VISp,CP,PROJECT_TO
886.0,394,824.8819443709335,13198.111109934936,16,RSPv,VISam,PROJECT_TO
886.0,48,3563.850913638635,220958.75664559536,62,RSPv,ACAv,PROJECT_TO
886.0,44,103.7135531303843,414.8542125215372,4,RSPv,ILA,PROJECT_TO
886.0,894,1198.5396185366546,47941.584741466184,40,RSPv,RSPagl,PROJECT_TO
886.0,879,4210.902329918848,345293.99105334555,82,RSPv,RSPd,PROJECT_TO
886.0,886,22726.285344903517,1863555.3982820883,82,RSPv,RSPv,PROJECT_TO
886.0,312782546,691.6374347106258,16599.29843305502,24,RSPv,VISa,PROJECT_TO
886.0,382,716.3040824257762,37247.81228614036,52,RSPv,CA1,PROJECT_TO
886.0,423,159.26999564115053,6689.339816928323,42,RSPv,CA2,PROJECT_TO
886.0,463,920.2951469847119,55217.70881908271,60,RSPv,CA3,PROJECT_TO
886.0,918,5286.09494243611,21144.37976974444,4,RSPv,ENTl,PROJECT_TO
886.0,926,2768.336768125068,22146.694145000543,8,RSPv,ENTm,PROJECT_TO
886.0,843,208.7637621741329,2087.637621741329,10,RSPv,PAR,PROJECT_TO
886.0,1037,2180.7033768592196,47975.47429090283,22,RSPv,POST,PROJECT_TO
886.0,1084,2791.9549982343156,11167.819992937262,4,RSPv,PRE,PROJECT_TO
886.0,502,404.5143649941788,4854.172379930145,12,RSPv,SUB,PROJECT_TO
886.0,302,2762.731614912934,33152.77937895521,12,RSPv,SCs,PROJECT_TO
886.0,294,6531.761474424509,222079.8901304333,34,RSPv,SCm,PROJECT_TO
886.0,1009,13247.749937615316,1033324.4951339946,78,RSPv,fiber tracts,PROJECT_TO
533.0,361,293.53775723446506,587.0755144689301,2,VISpm,SSp-tr,PROJECT_TO
533.0,402,375.3879636907255,3003.103709525804,8,VISpm,VISal,PROJECT_TO
533.0,394,4001.447496349794,88031.84491969548,22,VISpm,VISam,PROJECT_TO
533.0,409,1955.265806864893,19552.65806864893,10,VISpm,VISl,PROJECT_TO
533.0,385,7646.185147746405,214093.18413689933,28,VISpm,VISp,PROJECT_TO
533.0,533,17117.391766676294,479286.96946693625,28,VISpm,VISpm,PROJECT_TO
533.0,312782574,1255.1493785522487,5020.597514208995,4,VISpm,VISli,PROJECT_TO
533.0,312782628,304.112200015416,1216.448800061664,4,VISpm,VISpor,PROJECT_TO
533.0,48,1066.7903936421199,4267.161574568479,4,VISpm,ACAv,PROJECT_TO
533.0,894,4521.2353083952685,90424.70616790537,20,VISpm,RSPagl,PROJECT_TO
533.0,879,1982.741241194486,23792.894894333833,12,VISpm,RSPd,PROJECT_TO
533.0,886,1895.784480691075,18957.84480691075,10,VISpm,RSPv,PROJECT_TO
