region,axonal_bifurcation_remote_angle_mean_zscore,axonal_length_mean_zscore,axonal_branches_mean_zscore,axonal_max_branch_order_mean_zscore,dendritic_bifurcation_remote_angle_mean_zscore,dendritic_length_mean_zscore,dendritic_branches_mean_zscore,dendritic_max_branch_order_mean_zscore
AAA,0.9911014299416447,0.11607241736078788,0.6174288256233584,2.9582206516232596,1.3310521373968838,-0.6064232346316951,-0.23162356947705393,0.13564574443302513
ACAd,0.7047196714992477,1.696430634574418,0.30920333155040935,0.42804037879875934,-0.198922440306597,0.8812425729000868,0.1567991141175365,0.6954945076055669
ACAv,0.6751929042538396,1.2114878144702956,0.26495522892949475,0.5557381751985143,-0.2012844804527934,0.9149347779939535,0.30708721872003514,0.7254155954810751
ACB,1.0023933951839588,-0.12331681559919123,0.3686003116377171,0.9240733054927034,0.27010507855260535,-0.4482709890197332,-0.11930549008461064,-0.3982664454456524
ACVII,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
AD,0.7621475751056724,1.7399696963282267,2.1432940840939434,1.236485013942789,0.34600596315137866,0.8621367940162938,0.5504430574036622,-0.42148001891863834
ADP,0.8856581810660566,0.41483203565562515,0.6073965847028285,1.56972416962288,0.0400369189880634,-0.8339162380699265,-0.9071960173782683,-0.7557554769296364
AHN,0.9230643217848544,0.349174959987812,0.8010047178073462,1.61090494333294,0.31188644130333193,-0.7403098111928982,-0.8485225773278315,-0.6314313533836741
AId,0.6629770076870426,2.141930476881666,0.29559049909032215,0.364074681560252,-0.5430021436364775,0.9515893988725808,0.39724291846224524,0.6714256930968854
AIp,0.6277093248244336,2.7816842896033367,0.12253066390522155,0.22565957504651243,-0.5284536589631764,-0.6282037364281718,0.14776194313742108,-0.2729131486915281
AIv,0.5992753546134629,2.2514131073958388,0.41592499876638167,0.3646851413528671,-0.6401298949559572,1.1294700204394135,0.4525314685063901,0.6790877171058757
AM,0.544017250732512,0.6003681618471616,0.34843936594165237,0.8060511045226711,-0.6138570719499082,0.800922870242042,0.5088437687397943,-0.21255785766176452
AMB,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
AN,0.8193250421180166,-0.7636365960568466,-0.47196964356750887,-0.14584037258203367,-0.5613344141188674,-0.18982779763429147,3.7175355676794695,2.7355659734074544
AOB,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
AON,0.843885015232155,-0.09733755158323093,-0.263864953703185,0.2822092499498005,0.6848474025217569,0.13742348748468497,-0.08640423450500594,0.42264992555357894
AP,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
APN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
APr,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
AQ,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
ARH,0.8552882708939635,0.06263644472990491,-0.19504344546189822,0.5630038507603438,1.419671977438644,-1.704114114728805,-1.194589855318076,-1.1898705977308712
ASO,1.0047795781396576,0.3059149884202737,0.7787163911918764,1.2781399084028002,-0.3019029491207921,-0.696078831824978,-0.8639327571678457,-0.70004290059447
AT,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
AUDd,0.6926138299022025,0.6654566099002279,-0.10317760767692091,0.19356987857361468,-0.32293372573003687,-0.17763604486435974,0.15663645805237955,-0.029428555819319666
AUDp,0.7486435856341824,0.7876854433899322,0.07838880385489028,0.41264376795589697,0.08265986402085337,0.8021602196715307,0.5615362010473604,0.816577232973947
AUDpo,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
AUDv,0.7873816249121341,0.9940189654006794,0.15175645586162212,0.5065325776911607,-0.4355344102249269,0.40680635393110115,0.15822119285862224,0.4009437269814364
AV,0.6533467740921826,0.2820149620306499,0.20263424910145203,0.3226018748807208,0.022725978013003637,0.09007770328901157,-0.022870775454735082,-0.48901041447641563
AVP,0.9711166781106082,0.9960786475073433,1.7731209307872509,2.2396028805308186,0.1434412601499593,-0.38801219049102953,-0.7426014985648978,-0.4485625213037886
AVPV,0.9191050716811127,0.4022896289574796,0.6315768576907722,1.2788010972037527,1.2570250382167407,-0.9021705876797168,-0.9003816577114251,-0.5806588084476849
Acs5,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
B,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
BA,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
BAC,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
BLA,1.3519080909167414,-0.6261786679085215,-0.5625170487989576,-0.2075513273376061,-0.6170298547095213,-1.0125214255009851,-0.5976973097190912,-0.6071886067025262
BMA,0.7284923627294085,0.5464240660611678,0.12649211288409745,0.9587857175427129,-0.03659987840591684,-0.24298939173199663,-0.32036871862663874,-0.2357714311347505
BST,0.9029259200553843,-0.13394631697263487,0.08348209539915923,0.532980129729263,0.7573426899818503,-0.7778446117450798,-0.6265394831927064,-0.5452857441078969
CA1,0.5817690083864905,0.8039295663094207,0.19271718890331627,0.3370558029810015,-1.026685378226064,0.8663836222972543,0.43915805463540786,1.474079351210129
CA2,0.487093975079735,2.220284570125452,0.6671373921371374,0.41299979269487136,-2.3818063238476306,1.3094565309434985,0.3029943854805255,0.027814951526251658
CA3,0.4146452534698683,3.489386081742467,0.6216201197648312,0.5563586825547531,-3.01797124079938,1.7029030036863075,0.3213325042873272,-0.09899685568268625
CB,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
CEA,0.8867728701714866,-0.47948193760864055,-0.2187198695608008,0.6255465618626218,1.5668177711967408,-0.5193688800279217,-0.5976973097190912,-0.6071886067025262
CENT,0.9649288416169104,-0.7548202816341497,-0.45980233598953296,-0.18533538362559998,0.1126040913008697,-0.9223348292548222,2.1378719128168604,3.069841431418453
CL,0.7406134951571802,0.9696305992965005,0.2512520320240196,0.26706201560070564,-0.17045302282774907,-0.005441474132109547,-0.03497238670240585,-0.4721278155869713
CLA,0.9111421467930395,0.3403688619467659,-0.08482803881372968,0.3958135075680135,0.06519937040363666,-0.5819113659153028,-0.34643760618932923,-0.44005087769702705
CLI,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
CM,0.7111097196062106,1.9496062344148577,0.9230263182794978,0.681086421142637,-0.7627793727085074,2.251886476284632,1.6653039935953213,-0.05006284335086268
COAa,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
COAp,0.59520170336567,1.2662201783379372,-0.0956319905743002,0.23676754690251545,-2.975828950668089,0.7257959805405884,0.5005239110070208,-0.42148001891863834
COPY,0.6132671070546669,-0.7333974961740507,-0.4804584628079572,-0.31863104589763647,0.2855405334777819,-0.9631046602646677,1.2881371097095862,2.178440210055791
CP,0.9869284893071557,-0.2219418289775917,-0.12882160933009223,0.46981715250885364,0.34719605765004136,-0.7784124719754937,-0.44917969246581557,-0.519068061126642
CS,0.6713881860800736,-0.07126673243746318,-0.45640680829335367,-0.37417090517765167,0.23733336043725603,-0.4576897338028002,-0.5311384478569027,-0.6071886067025262
CTXsp,1.1092371094227012,-0.32713679637921184,0.09536644233578691,0.3478472654625458,0.06130420886354891,-1.0882930755280507,-0.564417878787997,-0.6071886067025262
CU,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
CUL,0.5736921329828806,-0.7533515875041692,-0.4585290131034657,0.09791789870247747,0.240748791479768,-0.6756086131489597,2.5971280596659616,3.1069831489752304
CUN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
DCO,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
DEC,0.8057425538921369,-0.7699878967135226,-0.520072952596716,-0.04093174949756051,0.7636339376825123,0.2710279432839156,5.126364810429128,2.364148797839679
DG,0.9581337840472985,-0.6796809161413474,-0.5755493308493015,-0.444451201043832,-3.5456267446006113,-1.022781969232469,-0.7830208215002802,-0.6591451319669401
DMH,0.9391362300246644,0.21656644832224337,0.34261179153308463,1.111631410281315,1.572521635465888,-1.2114320748488765,-1.0080083422963637,-0.8246035387421997
DMX,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
DN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
DP,0.800025124265795,0.7626957301444492,0.05575195254702806,0.38487383831588934,,,,
DR,1.2462142297610592,-0.6648610446272973,-0.6686272893045616,-0.762949920137758,-1.0056204288786552,-0.47309927460779005,-0.9304916190300343,-0.9786057822703018
DT,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
DTN,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
ECT,0.816783531392049,1.6198850485843561,-0.029540469345095407,0.3478472654625458,-0.3401616866898834,-0.38607853355565913,-0.09375164133394884,-0.18271183462506813
ECU,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
ENTl,0.7224330196681783,1.0368356995691577,0.33861827368152253,0.5157010623977029,-0.4788442262058094,2.4707338068718787,0.9311988995270646,1.6322384812796504
ENTm,0.7890388614790632,0.10023497217614816,-0.027182464000526485,0.24029388717426242,0.7590820124902149,-0.083713294420154,-0.3849106452808822,-0.08945557409289963
EPd,1.0887641556836674,-0.46126968014708714,-0.07547104487823546,1.3059098380428078,0.13351397764970271,-0.6379264952967263,-0.3730611509342047,-0.4679071658646103
EPv,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
EW,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
Eth,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
FC,-1.2810715189058517,-0.8993321731085331,-0.6898493374056823,-1.040649216537834,,,,
FL,0.8419785047686685,-0.6826347608145193,-0.4500401938630174,-0.2075513273376061,0.08531441908803526,-0.955098790522337,1.6320245626642271,2.085585916163847
